BOM: part C5_1 filtered out because of missing manufacturer part number
J1_3 is in BOM but not in pick-n-place files
JP1_2 is in BOM but not in pick-n-place files
JP2_2 is in BOM but not in pick-n-place files
JP2_4 is in BOM but not in pick-n-place files
J1_4 is in BOM but not in pick-n-place files
J2_3 is in BOM but not in pick-n-place files
"IDENTIFIER", "MFR_PN", "X (MM)", "Y (MM)", "ROTATION", "SIDE", 
C1_1, CL05B102KB5NNNC, 5.40, 23.90, 270.00, Top, 
C1_2, CL21B105KBFNNNG, 58.30, 14.35, 270.00, Top, 
C1_3, CL10B105KA8NNNC, 56.49, 30.15, 180.00, Top, 
C1_4, CL10B105KA8NNNC, 28.40, 38.90, 0.00, Top, 
C1_5, CL10A475KA8NQNC, 58.00, 52.00, 180.00, Top, 
C2_1, CL05B102KB5NNNC, 15.60, 15.60, 270.00, Top, 
C2_2, CL21A106KPCLQNC, 59.32, 5.08, 270.00, Top, 
C2_3, CL10B105KA8NNNC, 60.85, 27.50, 270.00, Top, 
C2_4, CL10A475KA8NQNC, 31.80, 47.50, 90.00, Top, 
C2_5, CL10A475KA8NQNC, 54.70, 50.00, 270.00, Top, 
C3_1, C3216X5R1E476M160AC, 13.60, 5.60, 90.00, Top, 
C3_2, CL21B105KBFNNNG, 48.65, 4.06, 270.00, Top, 
C3_4, GRM21BR61E226ME44L, 14.00, 45.00, 180.00, Top, 
C4_1, C3216X5R1E476M160AC, 16.30, 5.60, 90.00, Top, 
C4_4, CL10B105KA8NNNC, 15.40, 52.30, 90.00, Top, 
C7_1, CL05B103KB5NNNC, 16.90, 19.80, 0.00, Top, 
C26_4, CL10B105KA8NNNC, 32.00, 40.70, 90.00, Top, 
C27_4, C0603C220J5GACTU, 26.80, 53.10, 0.00, Top, 
C27_5, C0603C220J5GACTU, 59.70, 44.40, 180.00, Top, 
C28_4, CL10A475KA8NQNC, 28.30, 45.81, 0.00, Top, 
D1_1, BZT52C15S-7-F, 15.60, 1.70, 180.00, Top, 
D1_2, 1727-3877-1-ND, 51.70, 10.16, 180.00, Top, 
D2_1, BZT52C15S-7-F, 7.60, 23.90, 180.00, Top, 
D2_2, 1727-3877-1-ND, 51.70, 12.70, 180.00, Top, 
D3_1, BAT54, 19.10, 2.70, 0.00, Top, 
D3_2, 1727-3877-1-ND, 47.89, 8.89, 270.00, Top, 
D4_1, BZT52C3V3S-7-F, 14.90, 19.20, 270.00, Top, 
D4_2, 1727-3877-1-ND, 47.89, 13.97, 90.00, Top, 
D5_2, 1727-3600-1-ND, 55.26, 13.59, 270.00, Top, 
J1_1, S2B-PH-SM4-TB(LF)(SN), 4.90, 13.00, 90.00, Top, 
JP1_4, DNP, 21.00, 45.80, 90.00, Top, 
JP1_5, SM04B-SRSS-TB(LF)(SN), 49.40, 59.50, 270.00, Top, 
JP2_1, SM04B-SRSS-TB(LF)(SN), 21.60, 8.50, 90.00, Top, 
JP2_5, SM04B-SRSS-TB(LF)(SN), 49.40, 51.50, 270.00, Top, 
JP3_1, SM04B-SRSS-TB(LF)(SN), 21.60, 17.50, 90.00, Top, 
JP3_5, SM04B-SRSS-TB(LF)(SN), 49.40, 43.50, 270.00, Top, 
JP4_5, SM04B-SRSS-TB(LF)(SN), 56.50, 39.40, 0.00, Top, 
JP5_5, SM04B-SRSS-TB(LF)(SN), 56.50, 63.60, 180.00, Top, 
JP6_5, SM04B-SRSS-TB(LF)(SN), 64.60, 58.00, 90.00, Top, 
L1_4, LQH3NPN220MJRL, 25.00, 47.27, 270.00, Top, 
L1_5, LQH3NPN220MJRL, 61.50, 50.23, 90.00, Top, 
R1_1, RC0402FR-071ML, 10.20, 24.10, 270.00, Top, 
R1_2, RC0805FR-076K2L, 51.70, 15.24, 0.00, Top, 
R1_3, ERJ-3EKF9533V, 52.40, 30.20, 0.00, Top, 
R1_4, ERJ-3GEYJ134V, 24.20, 41.40, 270.00, Top, 
R1_5, ERJ-3GEYJ244V, 60.20, 59.00, 90.00, Top, 
R2_1, RC0402FR-07150KL, 11.30, 24.10, 90.00, Top, 
R2_2, RC0805FR-07100KL, 55.51, 2.03, 0.00, Top, 
R2_3, ERJ-3EKF4643V, 48.94, 28.55, 270.00, Top, 
R2_4, ERJ-3GEYJ204V, 25.70, 41.40, 270.00, Top, 
R3_1, ERJ-3BQF3R3V, 12.00, 2.00, 0.00, Top, 
R3_2, RC0805FR-07102KL, 56.78, 5.08, 90.00, Top, 
R3_3, ERJ-3EKF7683V, 50.06, 25.74, 180.00, Top, 
R3_4, ERJ-3GEYJ364V, 27.00, 51.30, 180.00, Top, 
R3_5, ERJ-3GEYJ364V, 59.50, 46.20, 0.00, Top, 
R4_1, RC0402FR-07150KL, 14.50, 15.60, 270.00, Top, 
R4_2, RC0805FR-07100KL, 55.51, 9.53, 0.00, Top, 
R4_4, ERJ-3GEYJ244V, 30.10, 51.30, 180.00, Top, 
R4_5, ERJ-3GEYJ244V, 56.40, 46.20, 0.00, Top, 
R5_1, RC0402FR-0710KL, 14.80, 22.60, 90.00, Top, 
R5_2, RC0805FR-076K2L, 59.45, 9.53, 180.00, Top, 
R5_4, RC0603FR-07330RL, 20.60, 52.40, 0.00, Top, 
R6_1, RC0402FR-07150KL, 16.90, 18.70, 180.00, Top, 
R6_4, RC0603JR-07100RL, 14.00, 47.00, 0.00, Top, 
U1_1, CDBHD140L-G, 8.10, 20.50, 270.00, Top, 
U1_2, 576-1284-1-ND , 52.97, 5.08, 270.00, Top, 
U1_3, MIC841NYC5-TR, 52.92, 27.39, 0.00, Top, 
U1_4, TPS62120, 28.86, 48.70, 180.00, Top, 
U1_5, TPS62120, 57.64, 48.80, 0.00, Top, 
U2_1, CDBHD140L-G, 8.10, 5.50, 270.00, Top, 
U2_3, TPS7A0220PDBVR, 57.72, 27.51, 0.00, Top, 
U2_4, TP2104K1-G, 17.00, 50.00, 180.00, Top, 
U3_1, MAX9938TEUK+T, 12.50, 15.60, 0.00, Top, 
U3_4, TN2106K1-G, 17.00, 42.00, 180.00, Top, 
U4_1, TN2106K1-G, 17.00, 22.10, 0.00, Top, 
U7_4, MIC5225YM5, 28.81, 41.46, 180.00, Top, 
