"Part";"Value";"Device";"Package";"Description";"BUILT_BY";"COPYRIGHT";"MANUFACTURER_PART_NUMBER";"MFR";"MFR_PN";"POPULARITY";"PROD_ID";"SF_ID";"SOURCELIBRARY";"SPICEPREFIX";"VALUE";"VENDOR";
"C1_1";"1n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL05B102KB5NNNC";"16";"";"";"";"C";"";"";
"C1_2";"1u";"CAP0805";"0805";"Capacitor";"";"";"";"";"CL21B105KBFNNNG";"";"";"";"";"";"";"";
"C1_3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"SAMSUNG";"CL10B105KA8NNNC";"";"CAP-00868";"";"";"";"1.0uF";"";
"C1_4";"1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL10B105KA8NNNC";"37";"";"";"";"C";"";"";
"C1_5";"4.7u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL10A475KA8NQNC";"37";"";"";"";"C";"";"";
"C2_1";"1n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL05B102KB5NNNC";"16";"";"";"";"C";"";"";
"C2_2";"10u";"CAP0805";"0805";"Capacitor";"";"";"";"";"CL21A106KPCLQNC";"";"";"";"";"";"";"";
"C2_3";"1.0uF";"1.0UF-0603-16V-10%";"0603";"1µF ceramic capacitors";"";"";"";"SAMSUNG";"CL10B105KA8NNNC";"";"CAP-00868";"";"";"";"1.0uF";"";
"C2_4";"4.7u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL10A475KA8NQNC";"37";"";"";"";"C";"";"";
"C2_5";"4.7u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL10A475KA8NQNC";"37";"";"";"";"C";"";"";
"C3_1";"";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"TDK";"C3216X5R1E476M160AC";"24";"";"";"";"C";"";"";
"C3_2";"1u";"CAP0805";"0805";"Capacitor";"";"";"";"";"CL21B105KBFNNNG";"";"";"";"";"";"";"";
"C3_4";"22u";"C-USC0805";"C0805";"CAPACITOR, American symbol";"";"";"";"MURATA";"GRM21BR61E226ME44L";"63";"";"";"";"C";"";"";
"C4_1";"";"C-USC1206";"C1206";"CAPACITOR, American symbol";"";"";"";"TDK";"C3216X5R1E476M160AC";"24";"";"";"";"C";"";"";
"C4_4";"1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL10B105KA8NNNC";"37";"";"";"";"C";"";"";
"C5_1";"DNP";"CPOL-USE2.5-5";"E2,5-5";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"8";"";"";"";"C";"";"";
"C7_1";"10n";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL05B103KB5NNNC";"16";"";"";"";"C";"";"";
"C26_4";"1u";"C-USC0603";"C0603";"CAPACITOR, American symbol";"";"";"";"SAMSUNG";"CL10B105KA8NNNC";"37";"";"";"";"C";"";"";
"C27_4";"22p";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"KEMET";"C0603C220J5GACTU";"16";"";"";"";"C";"";"";
"C27_5";"22p";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"KEMET";"C0603C220J5GACTU";"16";"";"";"";"C";"";"";
