Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "peppermill.brd" as of: 10/18/20 9:20 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation,Digikey
C1,Top,0.760,0.565,270,CL21B105KBFNNNG
C2,Top,0.800,0.200,270,CL21A106KPCLQNC
C3,Top,0.380,0.160,270,CL21B105KBFNNNG
D1,Top,0.500,0.400,180,1727-3877-1-ND
D2,Top,0.500,0.500,180,1727-3877-1-ND
D3,Top,0.350,0.350,270,1727-3877-1-ND
D4,Top,0.350,0.550,90,1727-3877-1-ND
D5,Top,0.640,0.535,270,1727-3600-1-ND
R1,Top,0.500,0.600,0,311-1.00KCRCT-ND 
R2,Top,0.650,0.080,0,RMCF0805FT100K
R3,Top,0.700,0.200,90,RMCF0805FT102K
R4,Top,0.650,0.375,0,RMCF0805FT100K
R5,Top,0.805,0.375,180,RMCF0805JT6K20
U1,Top,0.550,0.200,270,576-1284-1-ND
